tempo_sk,data,ano,mes,dia,trimestre,ano_mes
1,2017-10-02,2017,10,2,4,2017-10
2,2018-07-24,2018,7,24,3,2018-07
3,2018-08-08,2018,8,8,3,2018-08
4,2017-11-18,2017,11,18,4,2017-11
5,2018-02-13,2018,2,13,1,2018-02
6,2017-07-09,2017,7,9,3,2017-07
7,2017-05-16,2017,5,16,2,2017-05
8,2017-01-23,2017,1,23,1,2017-01
9,2017-07-29,2017,7,29,3,2017-07
10,2017-07-13,2017,7,13,3,2017-07
11,2018-06-07,2018,6,7,2,2018-06
12,2018-07-25,2018,7,25,3,2018-07
13,2018-03-01,2018,3,1,1,2018-03
14,2018-01-02,2018,1,2,1,2018-01
15,2017-12-26,2017,12,26,4,2017-12
16,2017-11-21,2017,11,21,4,2017-11
17,2017-10-26,2017,10,26,4,2017-10
18,2017-09-18,2017,9,18,3,2017-09
19,2018-03-15,2018,3,15,1,2018-03
20,2018-02-03,2018,2,3,1,2018-02
21,2018-01-08,2018,1,8,1,2018-01
22,2018-08-09,2018,8,9,3,2018-08
23,2018-02-20,2018,2,20,1,2018-02
24,2018-06-04,2018,6,4,2,2018-06
25,2018-03-12,2018,3,12,1,2018-03
26,2018-05-02,2018,5,2,2,2018-05
27,2018-02-25,2018,2,25,1,2018-02
28,2017-08-10,2017,8,10,3,2017-08
29,2018-04-16,2018,4,16,2,2018-04
30,2017-12-12,2017,12,12,4,2017-12
31,2018-07-29,2018,7,29,3,2018-07
32,2018-02-17,2018,2,17,1,2018-02
33,2018-02-21,2018,2,21,1,2018-02
34,2017-07-31,2017,7,31,3,2017-07
35,2018-06-01,2018,6,1,2,2018-06
36,2018-03-26,2018,3,26,1,2018-03
37,2017-05-19,2017,5,19,2,2017-05
38,2017-11-24,2017,11,24,4,2017-11
39,2017-08-04,2017,8,4,3,2017-08
40,2018-08-04,2018,8,4,3,2018-08
41,2017-05-18,2017,5,18,2,2017-05
42,2017-05-14,2017,5,14,2,2017-05
43,2018-05-17,2018,5,17,2,2018-05
44,2017-08-09,2017,8,9,3,2017-08
45,2018-02-01,2018,2,1,1,2018-02
46,2018-06-26,2018,6,26,2,2018-06
47,2018-07-26,2018,7,26,3,2018-07
48,2017-12-15,2017,12,15,4,2017-12
49,2017-08-31,2017,8,31,3,2017-08
50,2018-06-11,2018,6,11,2,2018-06
51,2018-03-09,2018,3,9,1,2018-03
52,2017-03-13,2017,3,13,1,2017-03
53,2017-06-13,2017,6,13,2,2017-06
54,2017-11-30,2017,11,30,4,2017-11
55,2018-08-05,2018,8,5,3,2018-08
56,2017-11-15,2017,11,15,4,2017-11
57,2018-02-19,2018,2,19,1,2018-02
58,2018-04-22,2018,4,22,2,2018-04
59,2018-01-07,2018,1,7,1,2018-01
60,2018-02-10,2018,2,10,1,2018-02
61,2018-06-18,2018,6,18,2,2018-06
62,2018-06-13,2018,6,13,2,2018-06
63,2018-07-15,2018,7,15,3,2018-07
64,2017-09-13,2017,9,13,3,2017-09
65,2018-04-13,2018,4,13,2,2018-04
66,2018-02-15,2018,2,15,1,2018-02
67,2017-02-20,2017,2,20,1,2017-02
68,2017-04-20,2017,4,20,2,2017-04
